Camera name	Point 1 (x, y)	Point 2 (x, y)	Point 3 (x, y)	Point 4 (x, y)	Point 5 (x, y)	Point 6 (x, y)	Point 7 (x, y)	Point 8 (x, y)
BALIa2014a	0, 1536	0, 0	2046, 0	2046, 1536				
BOOTa2012a	0, 1078	0, 0	1918, 0	1918, 1078				
BOOTa2014a	0, 1536	0, 0	2046, 0	2046, 1536				
BOOTb2013a	0, 1078	0, 0	1918, 0	1918, 1078				
BOOTb2014a	0, 1078	0, 0	1918, 0	1918, 1078				
BOOTb2014b	0, 1078	0, 0	1918, 0	1918, 1078				
BROWa2012a	0, 1050	0, 260	898, 104	1916, 92	1916, 1004	1602, 1050		
CUVEa2013a	0, 1050	0, 114	540, 66	861, 138	1254, 156	1916, 548	1918, 998	1596, 1050
CUVEa2013b	0, 1078	0, 0	1918, 0	1918, 1078				
CUVEa2014a	0,1512	0, 808	828, 450	2048, 366	2048, 1512			
DAMOa2014a	0, 1536	0, 0	2046, 0	2046, 1536				
DANCa2012a	0, 1078	0, 0	1918, 0	1918, 1078				
DANCb2013a	0, 1536	0, 0	2046, 0	2046, 1536				
DANCb2014a	0, 1536	0, 0	2046, 0	2046, 1536				
FORTa2011a	0, 1050	0, 596	1918, 376	1918, 1050				
GEORa2013a	0, 1505	0, 33	2043, 36	2046, 1446	1737, 1505			
GEORa2013b	0, 1536	0, 0	2046, 0	2046, 1536				
HALFa2012a	0, 1050	1428, 36	1918, 768	1918, 1050				
HALFa2013a	0, 1050	1428, 36	1918, 768	1918, 1050				
HALFb2013a	0, 1536	0, 0	2046, 0	2046, 1536				
HALFc2013a	0, 1078	0, 0	1918, 0	1918, 1078				
LOCKa2012a	0, 1078	0, 0	1918, 0	1918, 1078				
LOCKa2012b	0, 1078	0, 0	1918, 0	1918, 1078				
LOCKa2013a	0, 1078	0, 0	1918, 0	1918, 1078				
LOCKb2013a	0, 1078	0, 0	1918, 0	1918, 1078				
LOCKb2013b	0, 1078	0, 0	1918, 0	1918, 1078				
MAIVb2012a	0, 1050	0, 370	1920, 370	1920, 1008	1620, 1050			
MAIVb2013a	0, 1512	0, 696	1230, 642	2046, 783	2046, 1512			
MAIVb2013c	0, 1536	0, 0	2046, 0	2046, 1536				
MAIVc2013	0, 1050	0, 224	1018, 252	1748, 418	1920, 446	1920, 986	1606, 1050	
MAIVc2013b	0, 1512	0, 500	1161, 500	2046, 705	2046, 512			
MAIVd2014a	0, 1716	0, 756	3261, 756	3261, 1716				
NEKOa2012a	0, 1078	0, 0	1918, 0	1918, 1078				
NEKOa2013a	0, 1078	0, 0	1918, 0	1918, 1078				
NEKOa2013b	0, 1078	0, 0	1918, 0	1918, 1078				
NEKOa2013c	0, 1078	0, 0	1918, 0	1918, 1078				
NEKOa2014a	0, 1536	0, 0	2046, 0	2046, 1536				
NEKOb2013	0, 1505	0, 645	1107, 642	2046, 564	2043, 1449	1710, 1505		
NEKOc2013a	0, 1536	0, 0	2046, 0	2046, 1536				
NEKOc2013b	0, 1536	0, 0	2046, 0	2046, 1536				
NEKOc2013c	0, 1536	0, 0	2046, 0	2046, 1536				
NEKOc2014b	0, 1536	0, 0	2046, 0	2046, 1536				
PCHAc2013	0, 1078	0, 0	1918, 0	1918, 1078				
PETEa2012a	0, 1536	0, 0	2046, 0	2046, 1536				
PETEa2013a	0, 1536	0, 0	2046, 0	2046, 1536				
PETEa2013b	0, 1536	0, 0	2046, 0	2046, 1536				
PETEa2013c	0, 1536	0, 0	2046, 0	2046, 1536				
PETEa2014b	0, 1536	0, 0	2046, 0	2046, 1536				
PETEb2012a	0, 1512	0, 300	2046, 300	2046, 1512				
PETEb2012b	0, 1512	0, 300	2046, 300	2046, 1512				
PETEb2013b	0, 1512	0, 300	2046, 300	2046, 1512				
PETEc2013a	0, 1078	0, 0	1918, 0	1918, 1078				
PETEc2013b	0, 1078	0, 0	1918, 0	1918, 1078				
PETEc2014a	0, 1512	0, 414	2046, 414	2046, 1512				
PETEc2014b	0, 1512	0, 414	2046, 414	2046, 1512				
PETEd2013a	0, 1536	0, 0	2046, 0	2046, 1536				
PETEd2013b	0, 1536	0, 0	2046, 0	2046, 1536				
PETEe2013a	0, 1512	0, 468	2046, 468	2046, 1512				
PETEe2013b(1)	0, 1512	0, 696	1106, 564	2046, 561	2046, 1512			
PETEe2013b(2)	0, 1512	0, 603	2046, 603	2046, 1512				
PETEf2014a	0, 1512	0, 700	1017, 291	2046, 408	2046, 1512			
SALIa2012a	0, 712	707, 610	2045, 563	2045, 1503	0, 1503			
SALIa2013a	0, 437	749, 388	1543, 376	2045, 423	2045, 1503	0, 1503		
SALIa2013b	0, 1512	0, 123	2046, 123	2046, 1512				
SALIa2013c	0, 1512	0, 123	2046, 123	2046, 1512				
SALIa2013d	0, 1512	0, 123	2046, 123	2046, 1512				
SALIa2013e	0, 1512	0, 1036	2046, 778	2046, 1512				
SIGNa2012a	0, 1512	0, 604	2046, 604	2046, 1512				
SIGNa2013a	0, 1512	0, 604	2046, 604	2046, 1512				
SPIGa2012a	0, 1078	0, 0	1918, 0	1918, 1078				
SPIGa2013b	0, 1078	0, 0	1918, 0	1918, 1078				
SPIGa2014a								
SPIGa2014b								
YALOa2013a	0, 1050	0, 292	1918, 292	1920, 990	1610, 1050			
YALOa2014c	0, 1050	0, 292	1918, 292	1920, 990	1610, 1050			
